"","citric acid","residual sugar","density","pH","alcohol","quality"
"523",0.41,2.2,1.0002,3.08,10.8,6
"524",0.36,1.7,0.99652,3.22,11.1,6
"525",0.59,1.9,0.9978,3.3,9.4,5
"526",0.49,2.8,1.0014,3.12,9.4,5
"527",0.22,3,0.9964,3.26,9.2,5
"528",0.35,1.9,0.99182,3.25,12.5,6
"529",0,2.1,0.99774,3.23,9.4,5
"530",0.36,2.8,0.99516,3.15,11.8,6
"531",0,1.9,0.99498,3.45,9.5,6
"532",0.04,2,0.9958,3.72,12.9,6
"533",0.4,2.2,0.99498,3.19,11.8,6
"534",0.32,5.1,0.9963,3.34,10,6
"535",0.34,2.1,0.9955,3.26,10.1,4
"536",0.51,5.2,0.99652,3.3,11.4,7
"537",0.31,2.6,0.9981,3.48,9.5,6
"538",0.49,2,0.99688,3.29,10.5,5
"539",0.02,2.1,0.99599,3.53,10.9,6
"540",0.04,3,0.9976,3.34,9.4,5
"541",0.07,1.7,0.99467,3.16,12.8,6
"542",0.2,1.4,0.99609,3.2,11,7
"543",0.31,2.3,0.99745,3.31,9.6,7
"544",0.13,1.9,0.9957,3.27,9.7,5
"545",0.4,2,0.99476,3.1,9.8,6
"546",0.26,1.9,0.9976,3.26,9.4,5
"547",0.49,2,0.9976,3.16,11,7
"548",0.25,1.9,0.99616,3.28,9.9,5
"549",0.07,2.1,0.9956,3.4,10.2,5
"550",0.45,2,0.99586,3.17,10.5,7
"551",0.03,2.1,0.9967,3.52,10.7,6
"552",0.48,2.1,0.99408,3.32,12.8,7
"553",0.14,1.8,0.99572,3.37,9.3,7
"554",0.12,2.3,0.99536,3.36,11.2,6
"555",0.52,2.4,0.99672,3.25,11,8
"556",0.32,3.4,0.99712,3.28,11,8
"557",0.53,2.5,0.9934,3.17,12,7
"558",0,1.9,0.9968,3.44,9.4,6
"559",0.21,2.6,0.99712,3.13,9.8,5
"560",0.53,2.3,0.998,3.16,10.1,7
"561",0,2.1,0.9966,3.52,9.4,5
"562",0.43,2.3,0.9987,3.15,9.3,6
"563",0.49,2.6,0.9982,3.02,10.1,6
"564",0.68,3.1,0.9971,3.09,12.3,6
"565",0.37,1.5,0.9948,3.39,12.3,7
"566",0.33,1.9,0.99472,3.31,9.5,6
"567",0.45,3,0.9988,3.36,11.7,6
"568",0.17,2.6,0.997,3.31,9.8,5
"569",0.31,2.4,0.99636,3.55,9.8,4
"570",0.03,4,0.99494,3.36,11.4,8
"571",0.28,2.1,0.99459,3.42,11.7,6
"572",0.31,2.9,0.9982,3.31,9.5,6
"573",0.49,2.6,0.9994,3.1,10.8,5
"574",0.49,3.2,0.9986,3.08,10.6,6
"575",0.2,2.8,0.996,3.53,9.8,6
"576",0.01,2.7,0.99855,3.57,10.7,6
"577",0.49,2.7,1.001,3.21,9.2,5
"578",0.34,2.5,0.99356,3.22,12.8,7
"579",0.24,2.3,0.9998,3.2,9.4,5
"580",0.3,1.2,0.99735,3,9.2,6
"581",0.32,1.9,0.99676,3.3,9.5,5
"582",0.02,1.4,0.9952,3.55,10.8,5
"583",0.15,1.9,0.9952,3.36,11,5
"584",0.53,2.4,0.99622,3.26,11.6,6
"585",0.53,2.3,0.9986,3.23,9.8,6
"586",0.26,2.1,0.99633,3.1,9.8,5
"587",0.19,2.9,0.99692,3.29,10.5,5
"588",0.18,2.7,0.99633,3.25,9.3,5
"589",0.11,2.1,0.99562,3.44,10,5
"590",0.26,2.1,0.99419,3.36,11.5,6
"591",0,2.3,0.99704,3.44,9.9,5
"592",0.49,2,0.9988,3.12,9.9,6
"593",0.2,7.5,0.99585,3.42,9.9,6
"594",0.63,2.1,0.99818,3.07,10.9,6
"595",0.4,1.8,0.9971,3.12,9.9,6
"596",0.28,2.5,0.9968,3.28,10.5,7
"597",0.25,2.8,0.99718,3.14,9.7,6
"598",0.05,1.7,0.9946,3.3,9.3,5
"599",0.31,2.5,0.99708,3.28,11.2,4
"600",0.66,6.2,1.00369,3.05,9.4,5
"601",0.32,2.8,0.99508,3.34,10.5,7
"602",0.49,2.5,1.0004,3.2,12.1,6
"603",0.24,2.2,0.9967,3.33,9.5,6
"604",0.63,3.8,1.0014,3.05,11.3,6
"605",0.06,2.1,0.9958,3.4,10.4,7
"606",0.49,3.2,0.9986,3.18,9.5,6
"607",0.07,3.7,0.99702,3.28,11,5
"608",0.25,1.5,0.99564,3.3,10.1,6
"609",0.49,4.5,1.0002,3.26,9.6,5
"610",0.49,2.9,0.9994,3.33,11.5,5
"611",0.49,5.8,1.0021,3.3,12.7,7
"612",0.37,2.1,0.9986,3.24,10.2,6
"613",0.22,2,0.99007,3.3,12,5
"614",0.3,1.9,0.9976,3.39,9.5,6
"615",0.24,2.1,0.99823,3.37,10.3,6
"616",0.66,2.8,0.9994,3.15,11.3,6
"617",0.45,2.2,0.99702,3.38,11.4,6
"618",0.52,2.5,0.9983,3.32,10.5,6
"619",0.29,1.5,0.9965,3.19,9.6,5
"620",0.05,1.8,0.9969,3.28,9.5,5
"621",0.22,2,0.9983,3.26,9.3,5
"622",0.26,1.7,0.9972,3.35,9.5,5
"623",0.26,2.5,0.9976,3.32,9.2,5
"624",0,1.9,0.99627,3.41,10.8,5
"625",0.49,2.6,0.9981,3.21,9.5,7
"626",0,2.5,0.9997,3.39,9.3,5
"627",0.33,2.4,0.99484,3.27,12.3,6
"628",0,2.4,0.9956,3.42,11,6
"629",0.46,2,0.9982,3.25,9.8,6
"630",0,2.1,0.99498,3.65,11.4,6
"631",0.46,2.3,0.9976,3.07,9.4,4
"632",0.45,2.1,0.9987,3.15,11.1,7
"633",0.5,2.2,0.9959,3.12,9.3,6
"634",0.29,2.6,0.9981,3.07,9.5,6
"635",0.3,2,0.9985,3.5,9.8,5
"636",0.06,3,0.9972,3.37,9.5,7
"637",0.53,2.9,0.9982,3.33,10.7,6
"638",0.08,2.1,0.9968,3.52,9.4,5
"639",0.3,2.6,0.9964,3.37,11.4,6
"640",0.24,1.9,0.9947,3.28,9.8,6
"641",0.36,3.3,0.99736,3.27,12,7
"642",0.23,2.3,0.9916,3.49,11.6,6
"643",0.34,2.5,0.99352,3.44,12.4,6
"644",0.39,2.2,0.9963,3.29,11.6,7
"645",0.08,1.4,0.99588,3.53,10.8,6
"646",0.12,4.1,0.99586,3.27,10,5
"647",0.24,3,0.9978,3.38,10.5,5
"648",0.03,1.7,0.99467,3.34,11.5,6
"649",0.63,3,0.9988,3.19,9.4,5
"650",0.13,2.5,0.99552,3.66,11.6,7
"651",0.08,2.6,0.9998,3.4,9.5,5
"652",0,1.8,0.99655,3.36,9.7,5
"653",0.42,2.1,0.99516,3.36,11.3,6
"654",0.31,1.8,0.99572,3.41,10.5,5
"655",0.49,2.3,0.9988,3.26,9.9,5
"656",0.27,1.8,0.99456,3.39,11.8,5
"657",0.48,2.1,0.9965,3.3,12.2,6
"658",0,2.5,0.99734,3.3,9.7,6
"659",0.24,2.7,0.9994,3.12,9.6,5
"660",0.03,2.5,0.99736,3.38,9.7,5
"661",0.36,4.3,0.99704,3.23,11.4,6
"662",0.57,2.6,0.99572,3.17,10.2,6
"663",0.4,1.7,0.999,3.38,11.7,7
"664",0.21,2.2,0.99732,3.53,9.6,5
"665",0.17,3.75,0.9956,3.39,10,5
"666",0.03,4.5,0.99746,3.58,9.9,5
"667",0.03,2.5,0.99745,3.55,9.6,5
"668",0.2,1.4,0.99612,3.28,10.8,7
"669",0.45,2.3,0.99386,3.31,12.8,6
"670",0,1.7,0.99612,3.38,9.7,5
"671",0.31,2.6,0.9978,3.31,10,5
"672",0.31,2.5,0.99516,3.4,11.8,7
"673",0.32,2,0.9964,3.3,10.4,7
"674",0.51,2,0.99396,3.26,11.7,6
"675",0.49,2.6,1.0004,3.09,10.3,5
"676",0.14,5.1,0.99939,3.24,12,7
"677",0.48,2.7,0.99865,3.33,9.3,5
"678",0.15,2.8,0.99625,3.51,10.95,6
"679",0.14,2,0.99668,3.19,9.8,7
"680",0.02,2.1,0.99514,3.39,10.7,6
"681",0.08,2.6,0.995,3.38,10,5
"682",0.36,2.5,0.9988,3.39,13.3,7
"683",0.19,2.8,0.9976,3.19,9.4,5
"684",0,3.4,0.99531,3.36,10.6,5
"685",0,2.3,0.99685,3.61,10,7
"686",0,2,0.99633,3.51,9.8,6
"687",0.33,2.2,0.99316,3.38,12,6
"688",0.48,3,0.99483,3.36,12.5,7
"689",0.24,1.8,0.99803,3.19,9.5,5
"690",0.48,2.5,0.9974,3.32,9.4,6
"691",0.53,2.2,0.99572,3.14,11.8,7
"692",0.49,3,1.0004,3.48,9.4,4
"693",0.45,3.2,0.9996,3.36,11,5
"694",0.42,2.7,0.99817,3.27,9.5,6
"695",0.01,2.1,0.99516,3.36,11.3,6
"696",0.21,2.6,0.9984,3.78,9.4,5
"697",0,2.4,0.99611,3.36,11.3,5
"698",0.21,2.1,0.9963,3.16,9.4,5
"699",0.32,2.1,0.9956,3.3,11,7
"700",0,2,0.995,3.59,11,7
"701",0.52,2.2,0.99316,3.17,12.4,6
"702",0.02,2.2,0.99734,3.36,11.7,6
"703",0.04,2.3,0.99522,3.38,10.9,7
"704",0,2.5,0.9976,3.51,10.8,5
"705",0.01,2.6,0.997,3.51,10.8,7
"706",0.32,2.4,0.99629,3.28,10.6,5
"707",0.24,2.9,0.9987,3.32,10,7
"708",0.02,1.4,0.99387,3.78,10.2,5
"709",0.34,1.9,0.99516,3.26,9.6,6
"710",0.22,2.1,0.9994,3.26,9.4,3
"711",0.26,2.8,0.9987,3.21,9.7,5
"712",0.01,2.5,0.99498,3.55,11.7,6
"713",0.12,4.2,0.9976,3.24,10.5,5
"714",0.3,1.8,0.99489,3.43,11,7
"715",0,2.8,0.9994,3.44,9.6,5
"716",0.08,2.3,0.99728,3.52,14,6
"717",0.3,2.6,0.997,3.1,9.5,5
"718",0.28,1.9,0.995,3.26,9.2,5
"719",0.74,2.8,0.9994,3.2,10.8,7
"720",0.28,2.1,0.99516,3.34,11,5
"721",0.42,2.4,0.9973,3.37,10.8,5
"722",0.03,5.6,0.99734,3.33,10.1,5
"723",0,1.7,0.99494,3.55,9.5,5
"724",0.11,1.8,0.99546,3.54,11.1,8
"725",0.68,2.4,0.99546,3.1,11,7
"726",0.1,1.9,0.99476,3.58,11.2,6
"727",0.14,2.4,0.9968,3.14,9.4,5
"728",0,2,0.99632,3.54,11.4,5
"729",0.26,1.9,0.9962,3.29,9.6,5
"730",0.27,3.3,0.9976,3.15,9.8,5
"731",0.08,2.7,0.9964,3.38,10.8,5
"732",0.24,5.5,0.9988,3.16,9.4,5
"733",0.4,2.4,0.99786,3.31,10.9,4
"734",0.3,2.6,0.9992,3.42,9.5,5
"735",0.32,2.5,0.9956,3.29,12.7,6
"736",0.04,2.3,0.9948,3.31,11.8,6
"737",0.28,1.5,0.9973,3.26,9.1,5
"738",0.63,1.9,0.9982,3.19,11.9,6
"739",0,2.5,0.99774,3.5,9.7,5
"740",0.31,2.8,0.9987,3.32,9.4,5
"741",0.35,2.8,0.9978,3.37,9.3,5
"742",0.17,1.4,0.9956,3.3,10.3,5
"743",0.44,2.6,0.99546,3.22,11.5,6
"744",0.25,2.7,0.9976,3.21,9.2,5
"745",0.08,1.8,0.9956,3.32,11.7,8
"746",0,2.1,0.99448,3.54,9.8,5
"747",0.49,2.2,1.0021,3.07,10.5,6
"748",0.3,1.7,0.9972,3,9.4,5
"749",0.52,2,0.995,3.21,10.9,5
"750",0.02,2.1,0.99668,3.35,9.3,5
"751",0,2.1,0.99562,3.41,11.5,5
"752",0.41,1.9,0.99479,3.21,11,7
"753",0.2,2.3,0.99388,3.38,11.3,7
"754",0.22,2,0.9958,3.12,9.5,5
"755",0.49,2.6,0.9997,3.04,9,6
"756",0.26,1.9,0.99738,3.14,9.5,5
"757",0.55,2.7,0.9982,3.17,11.1,7
"758",0.26,2.2,0.99616,3.3,9.9,5
"759",0.29,1.9,0.99692,3.35,10.1,6
"760",0.21,1.7,0.99448,3.14,10.3,6
"761",0.36,2.4,0.995,3.33,11.5,6
"762",0.4,2.1,0.9979,3.26,11,7
"763",0,1.6,0.9959,3.46,9.2,5
"764",0.54,2.1,1.0003,3.25,9.2,6
"765",0.59,2.5,0.99708,3.25,9.6,6
"766",0.32,2.1,0.9973,3.33,10.5,7
"767",0.47,2,0.99396,3.18,10.1,6
"768",0.02,1.5,0.9974,3.2,9.1,4
"769",0.09,1.9,0.9974,3.19,10.9,6
"770",0.19,3.3,0.9972,3.36,9.6,4
"771",0.1,1.8,0.9964,3.46,9.4,6
"772",0.13,1.9,0.99525,3.19,11.2,5
"773",0.28,1.9,0.9967,3.27,9.6,5
"774",0.07,1.9,0.99655,3.31,9.5,6
"775",0.25,2.1,0.9974,3.21,9.8,5
"776",0.13,2.3,0.99693,3.62,10.9,6
"777",0.53,1.8,1.0001,3.15,11,5
"778",0.12,1.9,0.99419,3.38,10.5,5
"779",0,2.4,0.99536,3.12,11.4,5
"780",0.6,2.1,0.99572,3.11,11.2,7
"781",0.42,1.6,0.99652,3.21,10.5,6
"782",0.43,8.3,0.99467,3.35,12.8,7
"783",0.33,1.6,0.99695,3.26,9.8,7
"784",0.03,2.2,0.9964,3.35,9.6,5
"785",0.39,2.3,0.9947,3.42,11.5,6
"786",0.4,1.7,0.99518,3.38,11,7
"787",0,2.8,0.99586,3.26,10.9,7
"788",0.34,1.7,0.99732,3.34,14,7
"789",0.12,1.8,0.99668,3.38,9.5,5
"790",0.16,1.7,0.99514,3.4,10.3,5
"791",0.07,2.4,0.99458,3.5,10.9,7
"792",0.24,2.6,0.9982,3.17,9.3,5
"793",0.63,2.4,0.9996,3.16,11,7
"794",0.01,2.1,0.99546,3.57,10.5,5
"795",0.44,2.1,0.99585,3.27,11.4,7
"796",0.24,2,0.99901,3.24,9.4,5
"797",0.55,2.3,1.0004,3.13,9.5,6
"798",0.44,2,0.9986,3.3,9.3,3
"799",0.66,2.1,0.9969,3.43,9.4,5
"800",0.22,2.1,0.99538,3.36,9.6,5
"801",0.3,2.1,0.9981,3.35,9.4,5
"802",0.01,2.3,0.99489,3.52,11.2,4
"803",0.07,2,0.99743,3.69,10.9,5
"804",0.3,2.2,0.9959,3.42,9.5,5
"805",0.3,1.7,0.99512,3.3,11.9,6
"806",0.31,2.1,0.99472,3.31,11.3,5
"807",0.36,6.6,1.00289,3.6,9.6,6
"808",0.49,2.7,0.9982,3.17,9.5,5
"809",0.49,3.3,0.9982,3.26,9.2,5
"810",0.07,1.7,0.9976,3.59,12.1,6
"811",0,1.7,0.99498,3.48,9.5,6
"812",0,2.6,0.99615,3.5,12.5,7
"813",0.49,2.9,0.9994,3.17,10.2,6
"814",0.32,2.4,0.99418,3.22,12.8,6
"815",0.26,2.4,0.9976,3.26,9.4,5
"816",0.39,2.7,0.9994,3.12,9.5,5
"817",0.53,2.7,0.99642,3.23,11.7,7
"818",0.49,1.6,0.9986,3.2,9.5,5
"819",0.08,2,0.99557,3.27,9.8,6
"820",0.47,4.3,0.9997,3.12,10.1,7
"821",0.21,2.3,0.9946,3.38,10.6,5
"822",0.31,3.4,0.99396,3.31,11.2,6
"823",0,3,1.0021,3.16,11,5
"824",0.31,2.4,0.99694,3.31,12.5,7
"825",0,2.1,0.9974,3.31,9.8,5
"826",0.26,2.6,0.99627,3.16,9.7,5
"827",0.21,1.9,0.99668,3.16,9.5,5
"828",0,2.6,0.9979,3.49,10,6
"829",0.28,2.15,0.99652,3.38,10.5,5
"830",0.2,1.9,0.9974,3.1,9.4,7
"831",0.01,2.1,0.99491,3.52,10.8,5
"832",0.51,1.7,0.99738,3.02,10,6
"833",0.49,2.3,1.00012,3.31,9.9,6
"834",0.06,2.5,0.99746,3.25,9.8,6
"835",0.06,2.3,0.9959,3.4,9.8,5
"836",0.23,3.3,0.99572,3.44,11.3,5
"837",0.59,1.9,0.99655,3.22,9.4,5
"838",0.54,2,0.9959,3.27,9.5,6
"839",0.08,2,0.99702,3.41,10.4,5
"840",0.34,3,0.99316,3.3,12.9,8
"841",0.52,1.7,0.99522,3.35,13.6,8
"842",0.15,1.6,0.9962,3.41,9.8,5
"843",0.25,2.1,0.99458,3.4,10.8,6
"844",0,2.2,0.99736,3.52,11.6,7
"845",0.12,1.8,0.99504,3.36,11.8,6
"846",0,2.4,0.9948,3.61,11.8,6
"847",0.24,1.9,0.9968,3.04,9.5,5
"848",0,2.1,0.9966,3.3,9.7,5
"849",0.24,2.1,0.99761,3.2,10.2,6
"850",0,2.3,0.995,3.54,11,6
"851",0.2,1.9,0.9956,3.39,10.1,6
"852",0.01,2,0.9972,3.47,9.9,5
"853",0.53,2.2,0.9986,3.19,10.2,6
"854",0.04,2.5,0.99744,3.53,9.2,6
"855",0.03,2,0.99627,3.32,10.1,5
"856",0.51,3.3,1.00369,3.22,10.8,6
"857",0.53,2.5,0.9996,3.15,9.1,5
"858",0.49,2.6,1,3.17,9.5,6
"859",0.14,2.1,0.99628,3.26,12,6
"860",0.59,3.7,0.99572,3.18,11.8,6
"861",0.53,2.1,0.99592,3.2,12.4,7
"862",0.24,2.5,0.99258,3.22,12.2,8
"863",0.52,1.8,0.99724,3.33,10.8,6
"864",0,2.1,0.99191,3.54,12.5,5
"865",0.53,2.1,0.9972,3.35,10.2,6
"866",0.09,2.4,0.9964,3.15,11.5,6
"867",0.45,6.4,0.99738,3.3,12.1,7
"868",0.2,1.9,0.9976,3.1,9.3,5
"869",0.51,1.8,0.99724,3.18,9.7,5
"870",0.06,4.65,0.9974,3.32,9.6,5
"871",0.48,2.1,0.99444,3.26,12.8,6
"872",0.12,1.6,0.99467,3.38,10.7,7
"873",0.31,2,0.99708,3.07,9.8,5
"874",0,1.9,0.99468,3.52,10.6,4
"875",0.21,2.6,0.9966,3.13,9.2,5
"876",0.02,2.1,0.9934,3.34,10,7
"877",0.24,2.5,0.9973,3.43,9.4,5
"878",0.3,2.1,0.99484,3.47,10,6
"879",0.44,4.2,0.99668,3.39,10,6
"880",0,1.9,0.99603,3.31,9.5,6
"881",0.1,4,0.9983,3.48,9.5,5
"882",0.54,2,0.9994,3.1,10.5,7
"883",0.03,2.5,0.99744,3.38,9.2,5
"884",0.59,2.2,0.9976,3.22,10.8,7
"885",0.24,2.2,0.9991,3.29,10.2,7
"886",0.6,2.3,0.99549,3.4,11.8,7
"887",0,2.1,0.99292,3.35,12.5,6
"888",0.45,2.3,0.99572,3.19,11.5,6
"889",0.23,2.6,0.9966,3.22,9.4,5
"890",0.26,2,0.99613,3.21,9.3,6
"891",0.21,1.8,0.9974,3.07,9.2,5
"892",0.26,1.8,0.99708,3.32,9.5,5
"893",0.46,1.8,0.99647,3.47,10.9,3
"894",0.43,3,0.9956,3.3,12,7
"895",0.46,1.7,0.9948,3.36,11,5
"896",0.23,2.2,0.9969,3.14,9.4,5
"897",0,1.9,0.99693,3.44,10,5
"898",0.53,2.6,0.9982,3.11,10,5
"899",0.07,1.9,0.99458,3.35,11.8,6
"900",0,1.8,0.9964,3.48,9.7,6
"901",0.08,2.1,0.9947,3.35,10.6,6
"902",0.32,2.1,0.99587,3.47,9.3,5
"903",0.32,2.4,0.9974,3.3,10,6
"904",0.49,2.2,0.9982,3.3,9.4,6
"905",0.17,2.1,0.99524,3.46,10.1,5
"906",0.01,1.8,0.99538,3.38,11,6
"907",0.24,2.5,0.99855,3.42,9.2,5
"908",0.29,2.6,0.9979,3.19,10.1,6
"909",0.04,1.6,0.9958,3.41,9,4
"910",0.46,2.6,0.99408,3.27,12.6,6
"911",0.27,2,0.99478,3.44,11,5
"912",0.63,2.4,0.9987,3.08,9.5,5
"913",0.01,2.3,0.9963,3.52,10.7,5
"914",0.24,2.2,0.9976,3.12,9.4,5
"915",0,2.5,0.9982,3.51,9.9,5
"916",0.24,2.2,0.998,3.29,9.3,7
"917",0.19,1.8,0.9968,3.39,9.4,5
"918",0.02,1.9,0.99736,3.34,9,5
"919",0.54,3.4,1,3.16,11,6
"920",0.02,2.1,0.99572,3.52,10.9,6
"921",0.28,1.8,0.99344,3.35,12,6
"922",0,2.2,0.9963,3.48,9.7,5
"923",0.26,2,0.99612,3.26,9.4,5
"924",0,2,0.99636,3.31,11.1,6
"925",0.28,2.1,0.9963,3.17,9.6,5
"926",0.16,1.9,0.9956,3.19,9.9,5
"927",0,2.1,0.9948,3.58,11.9,5
"928",0.26,1.9,0.9976,3.28,9.8,5
"929",0.18,2.1,0.99494,3.52,11,6
"930",0.14,2.1,0.99783,3.17,9.2,5
"931",0.73,3.65,0.9996,3.2,11.5,7
"932",0.35,3.2,0.99622,3.33,11.8,6
"933",0.31,2.3,0.9958,3.16,9.3,5
"934",0.21,2,0.9979,3.17,9.4,5
"935",0.26,2.5,0.9986,3.24,9.6,5
"936",0.49,5.5,0.9987,3.08,9.5,5
"937",0.66,2,0.99647,3.21,9.8,5
"938",0.22,2.1,0.99628,3.36,10.2,5
"939",0.44,3,0.9986,3.23,11.4,5
"940",0.4,2.4,0.99623,3.3,11.9,5
"941",0.01,4.3,0.99568,3.36,11,7
"942",0.66,2.4,0.9986,3.17,11,6
"943",0.05,2.1,0.9976,3.5,9.7,5
"944",0.49,2.4,0.9957,3.3,9.2,4
"945",0.24,3.2,0.9982,3.39,10.2,7
"946",0.01,2.3,0.99521,3.35,10.5,6
"947",0.29,2,0.99408,3.28,11.1,6
"948",0.32,2.6,0.9986,3.2,9.8,6
"949",0,2,0.9976,3.61,9.3,4
"950",0.3,2.9,0.99516,3.37,10.5,6
"951",0.25,1.9,0.99439,3.42,11,6
"952",0.12,2.1,0.9968,3.09,9.5,5
"953",0.59,2.5,0.9994,2.98,9.6,3
"954",0.01,2.3,0.9946,3.34,10.7,5
"955",0.51,1.8,0.9972,3.05,9.5,5
"956",0.21,2.1,0.99494,3.39,10.9,6
"957",0.68,2.6,0.99976,3.03,10.6,6
"958",0,1.9,0.9946,3.59,9.4,5
"959",0,2.3,0.99568,3.59,10.2,5
"960",0.29,2.4,0.99408,3.44,11.9,6
"961",0.45,2.4,0.99332,3.21,11,5
"962",0.49,2.8,0.9994,3.31,10,7
"963",0.66,2.2,0.9986,3.24,10.5,6
"964",0,1.6,0.9964,3.41,11.7,7
"965",0.24,2.4,0.9988,3.19,9.3,5
"966",0.19,3.2,0.9979,3.19,9.8,5
"967",0.03,1.7,0.99514,3.39,11.2,6
"968",0.29,1.3,0.99494,3.42,10.6,6
"969",0.52,2.1,0.99538,3.36,11,7
"970",0.21,3.3,0.99572,3.14,9.5,5
"971",0.6,2.4,0.99728,3.29,11,7
"972",0.23,2,0.99578,3.28,9.7,5
"973",0.29,1.8,0.99685,3.35,9.5,6
"974",0,1.8,0.9969,3.28,9.6,5
"975",0.29,2.1,0.9963,3.31,10.8,5
"976",0.52,4.6,0.99374,3.3,12.5,7
"977",0.23,2.3,0.9976,3.12,9.2,4
"978",0,1.4,0.99498,3.41,12.1,6
"979",0.32,1.7,0.9934,3.52,12.6,7
"980",0.02,1.9,0.9958,3.36,9.8,7
"981",0.53,1.9,0.9972,3.2,11.2,6
"982",0.39,2.6,0.9976,3.3,9.4,5
"983",0.31,3.9,0.9994,3.37,10.5,6
"984",0,2.3,0.99459,3.38,12,7
"985",0.49,6.7,0.9994,3.31,12.4,7
"986",0.06,2.1,0.9961,3.37,10.9,6
"987",0.27,1.7,0.996,3.53,9.9,5
"988",0.3,2.2,0.99728,3.29,9.8,6
"989",0.18,2,0.9979,3.26,9.6,5
"990",0,1.9,0.99693,3.26,9.6,5
"991",0.26,3.6,0.99622,3.35,9.3,5
"992",0.3,2,0.9959,3.1,9.5,5
"993",0.38,2.2,0.998,3.33,9.4,5
"994",0.2,2.3,0.9976,3.1,9.6,5
"995",0.49,2.2,0.9974,3.37,11.4,7
"996",0.47,1.9,0.9984,3.21,9.5,6
"997",0.41,2.1,0.991,3.29,12.7,7
"998",0,2.1,0.99684,3.44,9.8,4
"999",0.42,1.9,0.99504,3.35,11.5,6
"1000",0.73,2,0.99546,3.37,13.6,6
"1001",0,2.2,0.9959,3.31,11,5
"1002",0.49,1.4,0.99652,3.37,10.3,6
"1003",0.26,2.5,0.99736,3.25,9.8,5
"1004",0.49,2.4,1.0004,3.16,9.8,6
"1005",0.08,3.1,0.9957,3.04,12,7
"1006",0.02,1.9,0.99557,3.35,10.5,5
"1007",0,1.7,0.9967,3.2,10.5,7
"1008",0.22,4.1,0.99922,3.15,9.6,5
"1009",0.42,2,0.99704,3.17,10,5
"1010",0.37,2.1,0.9986,3.26,9.2,5
"1011",0,2.6,0.99631,3.38,10.9,5
"1012",0.07,2.2,0.99598,3.21,10.1,5
"1013",0.26,2.1,0.99623,3.27,9.8,6
"1014",0.31,2,0.9966,3.31,9.4,6
"1015",0.4,1.9,0.99476,3.39,10.5,6
"1016",0.53,2.4,0.99852,3.15,11,7
"1017",0.32,2.9,0.9984,3.29,9.2,6
"1018",0.54,2.6,0.999,3.14,10.9,5
"1019",0.27,2.4,0.99628,3.34,10.7,7
"1020",0.21,2.3,0.9947,3.28,9.7,5
"1021",0.06,2,0.9963,3.5,9.8,5
"1022",0.26,2.1,0.99622,3.28,9.9,6
"1023",0.32,2.7,0.99334,3.23,11.9,6
"1024",0.25,2.2,0.99656,3.13,10.6,7
"1025",0.21,4,0.9972,3.23,9,5
"1026",0.49,1.7,0.99526,3.14,12.7,7
"1027",0.02,5.5,0.99745,3.22,10.5,5
"1028",0,1.9,0.99661,3.51,9.5,5
"1029",0.27,2,0.99613,3.27,9.8,6
"1030",0.24,1.9,0.99734,3.27,10.5,5
"1031",0.3,2,0.9958,3.3,10.2,5
"1032",0.19,2.3,0.9948,3.34,9.4,7
"1033",0.43,1.6,0.9948,3.33,12.1,7
"1034",0.28,3.4,0.9976,3.28,9.3,5
"1035",0.2,1.7,0.9964,3.2,9.5,4
"1036",0.49,2.7,1.0014,3.08,9.5,5
"1037",0.01,2.3,0.9967,3.42,9.5,5
"1038",0.1,2.1,0.99855,3.56,9.5,5
"1039",0,2.1,0.99387,3.33,12,6
"1040",0,2.3,0.99354,3.54,12.1,8
"1041",0.66,3.3,1.0004,3.16,11,6
"1042",0.63,2.3,0.99704,3.17,10.3,6
"1043",0.3,1.7,0.99656,3.42,9.2,5
"1044",0.32,2.2,0.99636,3.53,9.6,5
